Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1983-07-01,3.22556562071744,3.40467662548911,-0.179111004771677,-4.68652032831903,,,,,,,,,,,,1983-07-01,1.62447902955262,1.02885134720334,0.417064501582521,,1.88304612777437
1983-10-01,3.14572257363743,3.54319846311851,-0.397475889481077,-4.523793683083,,,,,,,,,,,,1983-10-01,1.62017747674277,1.03000915803656,0.416521658519678,,2.51559672030792
1984-01-01,3.30299128281052,3.62706971291994,-0.324078430109415,-3.71185714862054,,,,,,,,,,,,1984-01-01,1.62386933805816,1.03094181394075,0.415612098818496,,2.94459394423956
1984-04-01,3.47061690080392,3.68676319030507,-0.216146289501145,-2.96799691071249,,,,,,,,,,,,1984-04-01,1.63235557614788,1.03167181854586,0.414390364018711,,3.34831768619153
1984-07-01,3.36425370876262,3.65888499426304,-0.294631285500423,-2.9548422753893,,,,,,,,,,,,1984-07-01,1.64029939302662,1.03225907049198,0.41298325099915,,4.97304171504664
1984-10-01,3.27772162443806,3.66357086265208,-0.385849238214017,-3.24824737317545,,,,,,,,,,,,1984-10-01,1.65256841716964,1.03274499232004,0.411486063671372,,2.75610327403861
1985-01-01,3.55664542279454,3.66415035500189,-0.107504932207355,-2.66976731252805,,,,,,,,,,,,1985-01-01,1.6621299207342,1.03317921197135,0.409943962203955,,1.25465639216731
1985-04-01,3.43320823529702,3.67941902756288,-0.246210792265856,-3.04314456624036,,,,,,,,,,,,1985-04-01,1.66328454409505,1.03362476153912,0.408437248453455,,1.0683693635668
1985-07-01,3.60539211780091,3.76722653652746,-0.161834418726548,-2.68450480572722,,,,,,,,,,,,1985-07-01,1.66160550586399,1.03410560607668,0.407024111161689,,0.783564267657115
1985-10-01,3.41555992272295,3.70127527102577,-0.285715348302818,-2.82238487937718,,,,,,,,,,,,1985-10-01,1.65514957402213,1.03466423596451,0.405776791910897,,1.19241123848986
1986-01-01,3.50833892593333,3.663237717064,-0.154898791130674,-2.39814904610648,,,,,,,,,,,,1986-01-01,1.64963776828902,1.0352618013174,0.404687901401154,,1.07051103263238
1986-04-01,3.27623371825502,3.57656858589832,-0.3003348676433,-2.74719211824333,,,,,,,,,,,,1986-04-01,1.64426700366695,1.03592463564612,0.403760956455205,,0.497097707906895
1986-07-01,3.26289098546041,3.58505236086844,-0.322161375408029,-2.76853454896366,,,,,,,,,,,,1986-07-01,1.64060231762604,1.03662881930342,0.402946352655759,,0.0787142470876234
1986-10-01,3.21077442981544,3.48153492056161,-0.27076049074617,-2.56350014974282,,,,,,,,,,,,1986-10-01,1.63631769894697,1.03740845237199,0.402265488070164,,0.100672669000232
1987-01-01,3.10032365848129,3.4448808647562,-0.344557206274904,-2.66440071209206,,,,,,,,,,,,1987-01-01,1.63304925648627,1.03823679212584,0.401675679148427,,0.610185070013166
1987-04-01,3.26532636586645,3.43752289865588,-0.172196532789435,-2.09567635617179,,,,,,,,,,,,1987-04-01,1.62894643853529,1.03911282650498,0.401161335229901,,0.626074143405023
1987-07-01,3.25447400316034,3.40409888124864,-0.149624878088301,-1.897556575012,,,,,,,,,,,,1987-07-01,1.62732371617063,1.04003625256109,0.400718056107649,,0.635791941080457
1987-10-01,3.48738188817504,3.52739682287826,-0.0400149347032234,-1.39954082385088,,,,,,,,,,,,1987-10-01,1.62444297524518,1.04096927861868,0.400305178779563,,0.285301356997152
1988-01-01,3.37558406139427,3.40787953745756,-0.0322954760632908,-1.21036603185394,,,,,,,,,,,,1988-01-01,1.62449797929108,1.04194763750802,0.399982087306362,,-0.212682589589218
1988-04-01,3.56844574383246,3.46103629545735,0.107409448375111,-0.737355368271892,,,,,,,,,,,,1988-04-01,1.62255248607521,1.04291688457661,0.399672321170171,,-0.111415264309412
1988-07-01,3.49265778210143,3.37354088038798,0.119116901713448,-0.600368625057058,,,,,,,,,,,,1988-07-01,1.62238582687303,1.04393174790511,0.399447209881296,,0.613386396747554
1988-10-01,3.59397350809399,3.45850659941097,0.135466908683019,-0.474461475122098,,,,,,,,,,,,1988-10-01,1.62168458581942,1.04495360402776,0.399247445871869,,0.951761414052588
1989-01-01,3.60080232058525,3.47269717080589,0.128105149779361,-0.405538741966893,,,,,,,,,,,,1989-01-01,1.62466252152765,1.04600760350222,0.399153224514442,,1.90306038466772
1989-04-01,3.49599065234628,3.4705022978344,0.0254883545118768,-0.6934202905353,,,,,,,,,,,,1989-04-01,1.63036336745658,1.04707300116011,0.399164012261682,,2.62057613147918
1989-07-01,3.39976996301319,3.49159143875729,-0.0918214757441089,-1.13528931724034,,,,,,,,,,,,1989-07-01,1.6384723339163,1.04814365376786,0.399292247376999,,2.40123443303945
1989-10-01,3.34377739725628,3.39993529702781,-0.056157899771531,-1.33044664895749,,,,,,,,,,,,1989-10-01,1.64834184123829,1.04923630533271,0.399589534368688,,2.13810207516142
1990-01-01,3.5690601815249,3.48380877917559,0.0852514023493157,-1.21267801810609,,,,,,,,,,,,1990-01-01,1.6539624125499,1.05032531151168,0.400021635121776,,1.45187451774221
1990-04-01,3.52971573126829,3.40436798411469,0.125347747153599,-1.28784827348704,,,,,,,,,,,,1990-04-01,1.65660203207248,1.05147022423543,0.400787350946569,,1.27717385575077
1990-07-01,3.3949759188446,3.29255445519449,0.102421463650107,-1.6083009530762,,,,,,,,,,,,1990-07-01,1.65439391956129,1.05263759594099,0.401704166114005,,1.05676941867174
1990-10-01,3.01539232429695,3.02196021176234,-0.00656788746538939,-2.3208530844588,,,,,,,,,,,,1990-10-01,1.66759768995367,1.05383346337425,0.402565391474909,,1.05218475153793
1991-01-01,2.84171253579404,2.86828607611747,-0.0265735403234315,-2.8861712707054,,,,,,,,,,,,1991-01-01,1.69462185512418,1.0550001148631,0.403010650588163,,0.0616038566142292
1991-04-01,2.86041924912073,2.93383399635349,-0.0734147472327567,-3.20910544898186,,,,,,,,,,,,1991-04-01,1.69326324234862,1.0561553130244,0.403197604291527,,-0.23091445353095
1991-07-01,2.84775426595217,2.8616515757537,-0.0138973098015355,-3.00283230995797,,,,,,,,,,,,1991-07-01,1.70553477060765,1.05736387293559,0.403478109344269,,-0.341342207155188
